EP, 10, 1994090706,   , MTWC,   0, 293N, 1753E,  65,    0, TY
EP, 10, 1994090712,   , MTWC,   0, 295N, 1757E,  65,    0, TY
EP, 10, 1994090718,   , MTWC,   0, 297N, 1765E,  65,    0, TY
EP, 10, 1994090800,   , MTWC,   0, 301N, 1775E,  70,    0, TY
EP, 10, 1994090806,   , MTWC,   0, 305N, 1787E,  75,    0, TY
EP, 10, 1994090812,   , MTWC,   0, 310N, 1798E,  85,    0, TY
EP, 10, 1994090815,   , MTWC,   0, 313N, 1796W, 100,    0, TY
EP, 10, 1994090818,   , MTWC,   0, 316N, 1789W,  90,    0, TY
EP, 10, 1994090900,   , MTWC,   0, 327N, 1775W,  85,    0, TY
EP, 10, 1994090906,   , MTWC,   0, 343N, 1760W,  80,    0, TY
EP, 10, 1994090912,   , MTWC,   0, 370N, 1740W,  75,    0, TY
EP, 10, 1994090918,   , MTWC,   0, 395N, 1723W,  70,    0, TY
EP, 10, 1994091000,   , MTWC,   0, 415N, 1710W,  65,    0, TY
EP, 10, 1994091006,   , MTWC,   0, 425N, 1703W,  65,    0, EX
EP, 10, 1994091012,   , MTWC,   0, 433N, 1691W,  65,    0, EX
EP, 10, 1994091018,   , MTWC,   0, 441N, 1676W,  65,    0, EX
EP, 10, 1994091100,   , MTWC,   0, 447N, 1659W,  65,    0, EX
